2017-12-21T00:00, LEESEL TRANSP CORP , 101.5, RELIANT TRANS, 33.1, PIONEER TRANSPORTATION CORP, 29.4, NEW DAWN TRANSIT, 23.700000000000003, VAN TRANS LLC , 18.799999999999997
2017-12-28T00:00, LEESEL TRANSP CORP , 48.8, PIONEER TRANSPORTATION CORP, 42.5, RELIANT TRANS, 35.5, NEW DAWN TRANSIT, 27.4, SNT BUS INC, 25.6
2018-01-04T00:00, LEESEL TRANSP CORP , 130.2, PIONEER TRANSPORTATION CORP, 101.39999999999999, RELIANT TRANS, 98.7, SNT BUS INC, 83.0, BORO TRANSIT, 69.7
2018-01-11T00:00, LEESEL TRANSP CORP , 162.2, PIONEER TRANSPORTATION CORP, 63.1, RELIANT TRANS, 55.0, NEW DAWN TRANSIT, 37.900000000000006, VAN TRANS LLC , 25.7
2018-01-18T00:00, LEESEL TRANSP CORP , 245.3, PIONEER TRANSPORTATION CORP, 101.2, RELIANT TRANS, 78.7, VAN TRANS LLC , 48.3, NEW DAWN TRANSIT, 39.400000000000006
2018-01-25T00:00, LEESEL TRANSP CORP , 175.5, RELIANT TRANS, 96.6, PIONEER TRANSPORTATION CORP, 82.49999999999999, NEW DAWN TRANSIT, 37.7, DON THOMAS BUSES, 32.4
2018-02-01T00:00, LEESEL TRANSP CORP , 117.69999999999999, PIONEER TRANSPORTATION CORP, 62.3, RELIANT TRANS, 59.699999999999996, LITTLE RICHIE BUS SERVICE, 33.8, NEW DAWN TRANSIT, 24.3
2018-02-08T00:00, LEESEL TRANSP CORP , 113.3, RELIANT TRANS, 79.0, PIONEER TRANSPORTATION CORP, 67.6, LITTLE RICHIE BUS SERVICE, 46.2, BORO TRANSIT, 37.9
2018-02-15T00:00, LEESEL TRANSP CORP , 37.8, RELIANT TRANS, 21.9, LITTLE RICHIE BUS SERVICE, 19.900000000000002, PIONEER TRANSPORTATION CORP, 19.799999999999997, FIRST STEPS TRANSP INC. , 14.3
2018-02-22T00:00, LEESEL TRANSP CORP , 133.6, RELIANT TRANS, 75.2, PIONEER TRANSPORTATION CORP, 58.4, BORO TRANSIT, 50.1, G.V.C., 30.700000000000003
2018-03-01T00:00, LEESEL TRANSP CORP , 242.29999999999998, RELIANT TRANS, 147.70000000000002, PIONEER TRANSPORTATION CORP, 134.2, BORO TRANSIT, 48.7, G.V.C., 46.5
2018-03-08T00:00, LEESEL TRANSP CORP , 278.09999999999997, RELIANT TRANS, 158.7, PIONEER TRANSPORTATION CORP, 110.1, G.V.C., 65.3, BORO TRANSIT, 53.599999999999994
2018-03-15T00:00, LEESEL TRANSP CORP , 253.59999999999997, RELIANT TRANS, 108.3, PIONEER TRANSPORTATION CORP, 92.60000000000001, BORO TRANSIT, 41.2, G.V.C., 40.1
2018-03-22T00:00, LEESEL TRANSPORTATION CORP , 271.9, RELIANT TRANSPORTATION, 124.5, PIONEER TRANSPORTATION CORP, 106.9, BORO TRANSIT, 46.2, VAN TRANS LLC , 44.3
2018-03-29T00:00, LEESEL TRANSPORTATION CORP , 43.3, PIONEER TRANSPORTATION CORP, 18.6, RELIANT TRANSPORTATION, 12.3, BORO TRANSIT, 10.7, G.V.C., 7.0
2018-04-05T00:00, LEESEL TRANSPORTATION CORP , 116.7, RELIANT TRANSPORTATION, 89.2, PIONEER TRANSPORTATION CORP, 63.9, FIRST STEPS TRANS INC. , 44.7, BORO TRANSIT, 36.3
2018-04-12T00:00, LEESEL TRANSPORTATION CORP , 251.3, RELIANT TRANSPORTATION, 102.3, PIONEER TRANSPORTATION CORP, 73.19999999999999, SNT BUS INC, 41.3, G.V.C., 37.2
