2016-01-14T00:00, RELIANT TRANS, 10.5, G.V.C., 9.5, NEW DAWN TRANSIT, 8.9, PIONEER TRANSPORTATION CO, 5.2, BORO TRANSIT, 4.800000000000001
2016-01-15T00:00, G.V.C., 9.3, PIONEER TRANSPORTATION CO, 7.199999999999999, RELIANT TRANS, 6.6000000000000005, NEW DAWN TRANSIT, 4.9, LEESEL TRANSP CORP , 4.3
2016-01-19T00:00, PIONEER TRANSPORTATION CO, 15.5, LITTLE RICHIE BUS SERVICE, 13.7, LORINDA ENT. LTD., 11.6, RELIANT TRANS, 10.3, LOGAN BUS COMPANY INC., 10.0
2016-01-20T00:00, RELIANT TRANS, 13.0, NEW DAWN TRANSIT, 10.7, LITTLE RICHIE BUS SERVICE, 8.6, G.V.C., 6.6, PIONEER TRANSPORTATION CO, 5.4
2016-01-21T00:00, RELIANT TRANS, 12.3, PIONEER TRANSPORTATION CO, 8.6, G.V.C., 8.4, NEW DAWN TRANSIT, 8.2, LITTLE RICHIE BUS SERVICE, 6.800000000000001
2016-01-22T00:00, NEW DAWN TRANSIT, 12.2, LEESEL TRANSP CORP , 7.8, G.V.C., 6.8, RELIANT TRANS, 6.4, BORO TRANSIT, 6.4
2016-01-25T00:00, PIONEER TRANSPORTATION CO, 70.60000000000001, DON THOMAS BUSES, 41.2, RELIANT TRANS, 27.3, BORO TRANSIT, 26.6, NEW DAWN TRANSIT, 25.6
2016-01-26T00:00, PIONEER TRANSPORTATION CO, 29.7, RELIANT TRANS, 22.5, G.V.C., 20.2, LEESEL TRANSP CORP , 19.4, BORO TRANSIT, 13.5
2016-01-27T00:00, NEW DAWN TRANSIT, 14.599999999999998, G.V.C., 14.5, RELIANT TRANS, 13.7, PIONEER TRANSPORTATION CO, 13.2, BORO TRANSIT, 9.6
2016-01-28T00:00, PIONEER TRANSPORTATION CO, 20.7, RELIANT TRANS, 20.4, G.V.C., 8.9, VAN TRANS LLC , 7.9, NEW DAWN TRANSIT, 7.6
2016-01-29T00:00, G.V.C., 13.899999999999999, RELIANT TRANS, 9.4, NEW DAWN TRANSIT, 7.2, PIONEER TRANSPORTATION CO, 6.300000000000001, LEESEL TRANSP CORP , 4.6
2016-02-01T00:00, NEW DAWN TRANSIT, 14.9, RELIANT TRANS, 11.1, LITTLE RICHIE BUS SERVICE, 8.5, LOGAN BUS COMPANY INC., 8.2, G.V.C., 6.8999999999999995
2016-02-02T00:00, RELIANT TRANS, 10.899999999999999, G.V.C., 10.4, LITTLE RICHIE BUS SERVICE, 8.9, NEW DAWN TRANSIT, 5.7, PIONEER TRANSPORTATION CO, 4.800000000000001
2016-02-03T00:00, G.V.C., 10.9, LITTLE RICHIE BUS SERVICE, 7.8999999999999995, NEW DAWN TRANSIT, 7.4, RELIANT TRANS, 6.5, PIONEER TRANSPORTATION CO, 5.4
2016-02-04T00:00, RELIANT TRANS, 12.399999999999999, G.V.C., 6.7, LITTLE RICHIE BUS SERVICE, 5.9, HAPPY CHILD TRANS LLC , 4.6, BORO TRANSIT, 4.6000000000000005
2016-02-05T00:00, RELIANT TRANS, 29.4, NEW DAWN TRANSIT, 19.6, PIONEER TRANSPORTATION CO, 17.1, LEESEL TRANSP CORP , 12.8, G.V.C., 10.8
2016-02-08T00:00, G.V.C., 3.0999999999999996, RELIANT TRANS, 2.8000000000000003, JOFAZ TRANSPORTATION INC., 1.3, SMART PICK, 1.2000000000000002, PIONEER TRANSPORTATION CO, 1.2
2016-02-09T00:00, RELIANT TRANS, 15.6, G.V.C., 11.299999999999999, NEW DAWN TRANSIT, 10.600000000000001, PIONEER TRANSPORTATION CO, 8.7, LITTLE RICHIE BUS SERVICE, 8.100000000000001
